FECHA_ACCIDENTE,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento
2016-01-24,10,8,38,0,15,4
2016-01-25,7,8,89,0,10,3
2016-01-26,16,14,84,0,5,6
2016-01-27,12,9,105,0,6,3
2016-01-28,8,20,81,0,6,3
2016-01-29,18,13,90,0,12,3
2016-01-30,11,4,83,0,4,4
2016-01-31,10,9,43,0,16,4
2016-02-01,16,14,77,0,22,1
2016-02-02,18,11,100,0,15,7
2016-02-03,10,11,92,0,13,2
2016-02-04,17,8,97,0,15,2
2016-02-05,12,13,87,0,11,2
2016-02-06,24,10,78,0,13,9
2016-02-07,12,9,51,0,11,4
2016-02-08,15,19,77,0,14,7
2016-02-09,22,7,83,0,16,3
2016-02-10,12,10,92,0,10,9
2016-02-11,16,28,88,0,34,6
2016-02-12,13,8,77,0,9,3
2016-02-13,11,11,94,0,8,3
2016-02-14,6,10,47,0,6,1
2016-02-15,13,13,85,0,8,7
2016-02-16,13,8,88,0,9,7
2016-02-17,12,20,116,0,24,11
2016-02-18,12,11,103,0,11,4
2016-02-19,19,12,103,0,11,5
2016-02-20,12,9,91,0,22,8
2016-02-21,7,8,36,0,14,7
2016-02-22,11,11,95,0,13,9
2016-02-23,14,10,83,0,14,2
2016-02-24,11,6,84,0,8,5
2016-02-25,8,13,79,0,13,3
2016-02-26,14,7,100,0,11,3
2016-02-27,11,14,90,0,9,1
2016-02-28,12,8,42,0,15,4
2016-02-29,10,9,96,0,17,6
2016-03-01,15,6,104,0,13,4
2016-03-02,9,10,77,0,12,3
2016-03-03,8,8,85,0,20,3
2016-03-04,9,18,91,0,16,3
2016-03-05,18,19,104,0,15,7
2016-03-06,9,10,50,0,11,3
2016-03-07,16,12,115,1,17,5
2016-03-08,12,4,94,0,11,8
2016-03-09,10,9,79,0,17,6
2016-03-10,13,18,104,0,23,7
2016-03-11,17,12,118,1,9,6
2016-03-12,12,6,92,0,8,12
2016-03-13,11,8,50,0,17,1
2016-03-14,11,17,97,0,28,10
2016-03-15,22,6,83,0,15,2
2016-03-16,12,11,94,0,16,3
2016-03-17,13,13,108,0,22,15
2016-03-18,11,15,110,0,13,5
2016-03-19,19,9,81,0,26,6
2016-03-20,7,8,46,0,14,4
2016-03-21,13,4,36,0,21,3
2016-03-22,15,8,77,0,15,1
2016-03-23,10,8,86,0,20,3
2016-03-24,7,5,28,0,6,3
2016-03-25,4,2,14,0,7,3
2016-03-26,13,5,47,0,12,3
2016-03-27,11,11,40,0,4,3
2016-03-28,14,22,90,0,19,5
2016-03-29,15,11,77,0,14,2
2016-03-30,13,11,85,0,23,3
2016-03-31,10,13,78,0,22,4
2016-04-01,6,17,80,0,19,4
2016-04-02,9,4,59,0,1,2
2016-04-03,8,5,23,0,5,3
2016-04-04,6,6,100,0,14,8
2016-04-05,11,8,99,0,19,6
2016-04-06,23,6,110,0,16,4
2016-04-07,11,6,86,0,6,3
2016-04-08,17,12,131,0,20,16
2016-04-09,11,10,75,0,13,14
2016-04-10,12,6,63,0,15,3
2016-04-11,16,10,96,0,14,10
2016-04-12,6,7,101,0,27,1
2016-04-13,10,15,81,0,8,3
2016-04-14,14,11,93,0,9,6
2016-04-15,12,11,115,0,17,8
2016-04-16,11,10,85,0,10,2
2016-04-17,19,8,46,0,12,6
2016-04-18,14,7,107,0,15,8
2016-04-19,14,4,93,0,7,7
2016-04-20,9,13,101,0,23,3
2016-04-21,13,10,92,0,11,8
2016-04-22,13,6,61,0,10,1
2016-04-23,10,7,85,0,9,3
2016-04-24,7,16,47,0,19,6
2016-04-25,12,14,89,0,13,6
2016-04-26,10,16,90,0,14,1
2016-04-27,12,10,95,0,20,3
2016-04-28,11,11,99,0,20,5
2016-04-29,14,15,108,0,14,3
2016-04-30,12,18,82,0,10,5
2016-05-01,11,10,52,0,15,3
2016-05-02,7,12,78,0,13,3
2016-05-03,7,14,86,0,14,2
2016-05-04,8,16,80,0,22,5
2016-05-05,11,12,96,0,18,4
2016-05-06,20,10,119,0,20,6
2016-05-07,14,7,117,0,7,2
2016-05-08,14,9,55,0,8,4
2016-05-09,8,9,52,0,3,7
2016-05-10,7,9,96,0,19,7
2016-05-11,10,11,102,0,13,2
2016-05-12,10,12,87,0,17,8
2016-05-13,15,7,107,0,10,5
2016-05-14,11,5,75,0,13,1
2016-05-15,16,14,52,0,7,3
2016-05-16,16,13,105,0,12,5
2016-05-17,17,14,118,0,16,4
2016-05-18,10,9,88,0,16,4
2016-05-19,15,15,111,0,17,3
2016-05-20,12,7,81,0,21,3
2016-05-21,11,16,99,0,10,4
2016-05-22,11,9,36,0,17,1
2016-05-23,9,13,103,0,13,3
2016-05-24,15,10,86,0,16,4
2016-05-25,8,19,87,0,17,6
2016-05-26,9,10,101,0,24,5
2016-05-27,14,13,74,0,13,5
2016-05-28,13,9,69,0,22,4
2016-05-29,7,7,38,0,14,0
2016-05-30,4,3,34,0,16,4
2016-05-31,3,7,39,0,14,6
2016-06-01,13,11,74,0,12,5
2016-06-02,9,11,89,0,17,6
2016-06-03,17,13,88,0,12,0
2016-06-04,15,6,82,0,14,3
2016-06-05,14,5,36,0,9,2
2016-06-06,11,4,37,0,11,3
2016-06-07,8,15,94,0,21,7
2016-06-08,6,3,80,0,11,3
2016-06-09,10,9,76,0,16,2
2016-06-10,13,10,78,0,18,5
2016-06-11,19,9,87,0,16,1
2016-06-12,13,10,55,0,21,3
2016-06-13,8,12,86,0,17,2
2016-06-14,4,12,88,0,25,15
2016-06-15,3,7,111,0,12,8
2016-06-16,14,10,82,0,16,5
2016-06-17,13,7,93,0,12,3
2016-06-18,18,19,99,0,23,2
2016-06-19,10,6,56,0,9,7
2016-06-20,14,10,79,0,20,10
2016-06-21,11,16,92,0,11,7
2016-06-22,12,13,101,0,7,4
2016-06-23,10,19,90,0,25,8
2016-06-24,11,6,72,0,15,1
2016-06-25,11,4,88,0,8,4
2016-06-26,7,3,49,0,12,6
2016-06-27,14,6,81,0,12,6
2016-06-28,10,21,94,0,15,1
2016-06-29,11,3,77,0,11,7
2016-06-30,5,2,41,0,12,4
2016-07-01,13,6,84,0,5,1
2016-07-02,15,8,83,0,9,12
2016-07-03,6,8,35,0,8,4
2016-07-04,8,8,45,0,9,2
2016-07-05,12,9,86,0,20,7
2016-07-06,9,13,76,0,15,4
2016-07-07,18,10,85,0,12,7
2016-07-08,13,6,103,0,14,1
2016-07-09,15,11,114,0,18,5
2016-07-10,13,9,49,0,12,1
2016-07-11,16,9,75,0,21,3
2016-07-12,11,8,92,0,18,4
2016-07-13,10,6,93,0,12,3
2016-07-14,16,7,91,0,18,1
2016-07-15,11,12,111,0,32,5
2016-07-16,8,11,76,0,14,4
2016-07-17,7,10,58,0,17,3
2016-07-18,14,13,99,0,20,3
2016-07-19,19,4,94,0,20,3
2016-07-20,11,5,51,0,11,4
2016-07-21,4,7,91,0,21,2
2016-07-22,13,10,82,0,13,3
