FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_DIARIOS
2020-12-16,2020,3,12,51,0,0,0,0,99.65526495726495
2020-12-17,2020,4,12,51,0,0,0,0,93.8284087301587
2020-12-18,2020,5,12,51,0,0,0,0,101.52842676767678
2020-12-19,2020,6,12,51,0,0,0,0,88.29143650793651
2020-12-20,2020,7,12,51,0,0,0,0,59.27219047619045
2020-12-21,2020,1,12,52,0,0,0,0,83.45533730158729
2020-12-22,2020,2,12,52,0,0,0,0,91.86151984126984
2020-12-23,2020,3,12,52,0,0,0,0,80.65821428571427
2020-12-24,2020,4,12,52,0,0,1,0,78.50766666666667
2020-12-25,2020,5,12,52,1,0,0,0,45.9
2020-12-26,2020,6,12,52,0,0,0,0,53.40723809523807
2020-12-27,2020,7,12,52,0,0,0,0,36.44582142857143
2020-12-28,2020,1,12,53,0,0,0,0,74.53561111111111
2020-12-29,2020,2,12,53,0,0,0,0,82.22947619047619
2020-12-30,2020,3,12,53,0,0,0,0,83.19892857142857
2020-12-31,2020,4,12,53,0,0,0,1,59.73783333333332
2021-01-01,2021,5,1,53,1,0,0,0,34.195
2021-01-02,2021,6,1,53,0,0,0,0,42.67775000000002
2021-01-03,2021,7,1,53,0,0,0,0,35.69237728937728
2021-01-04,2021,1,1,1,0,0,0,0,55.302000000000014
2021-01-05,2021,2,1,1,0,0,0,0,61.390190476190476
2021-01-06,2021,3,1,1,0,0,0,0,66.61731818181818
2021-01-07,2021,4,1,1,0,0,0,0,61.1546111111111
2021-01-08,2021,5,1,1,0,0,0,0,51.487422077922076
2021-01-09,2021,6,1,1,0,0,0,0,50.862142857142864
2021-01-10,2021,7,1,1,0,0,0,0,33.140523809523806
2021-01-11,2021,1,1,2,1,0,0,0,28.927928571428573
2021-01-12,2021,2,1,2,0,0,0,0,68.06377380952381
2021-01-13,2021,3,1,2,0,0,0,0,75.4961406926407
2021-01-14,2021,4,1,2,0,0,0,0,64.11782539682538
2021-01-15,2021,5,1,2,0,0,0,0,75.77113492063494
